Data,Location,High School Name,School Type,Others
3/2/14,"Westminster, MD",McDaniel College,College or University,Gun fired but no one injured
2/20/14,"Raytown, MO",Raytown Success Academy,Preschool,Attack on other persons(s) resulting in injury or death
2/12/14,"Jackson, TN",Union University,College or University,Attack on other persons(s) resulting in injury or death
2/11/14,"Lyndhurst, OH",Charles F. Brush High School,High School,Gun fired but no one injured
2/10/14,"Salisbury, NC",Salisbury High School,High School,Attack on other persons(s) resulting in injury or death
2/7/14,"Bend, OR",Bend High School,High School,"Attempted or completed suicide, with no intent to injure other person"
1/31/14,"Phoenix, AZ",Cesar Chavez High School,High School,Gun fired but no one injured
1/31/14,"Des Moines, IA",North High School,High School,Attack on other persons(s) resulting in injury or death
1/28/14,"Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death
1/28/14,"Grambling, LA",Grambling State University,College or University,Attack on other persons(s) resulting in injury or death
1/24/14,"Orangeburg, SC",South Carolina State University,College or University,Attack on other persons(s) resulting in injury or death
1/21/14,"West Lafayette, IN",Purdue University,College or University,Attack on other persons(s) resulting in injury or death
1/20/14,"Chester, PA",Widener University,College or University,Attack on other persons(s) resulting in injury or death
1/17/14,"Philadelphia, PA",Delaware Valley Charter High School,High School,Gun fired unintentionally resulting in injury or death
1/15/14,"Lancaster, PA",King Elementary School,Elementary School,Gun fired but no one injured
1/14/14,"Roswell, NM",Berrendo Middle School,Middle School,Attack on other persons(s) resulting in injury or death
1/9/14,"Jackson, TN",Liberty Technology Magnet High School,High School,Attack on other persons(s) resulting in injury or death
12/19/13,"Fresno, CA",Edison High School,High School,Attack on other persons(s) resulting in injury or death
12/13/13,"Centennial, CO",Arapahoe High School,High School,Attack on other persons(s) resulting in injury or death
12/4/13,"Winter Garden, FL",West Orange High School,High School,Attack on other persons(s) resulting in injury or death
11/21/13,"Rapid City, SD",South Dakota School of Mines & Technology,College or University,Attack on other persons(s) resulting in injury or death
11/3/13,"Stone Mountain, GA",Stephenson High School,High School,Attack on other persons(s) resulting in injury or death
11/2/13,"Greensboro, NC",North Carolina A&T State University,Preschool,Attack on other persons(s) resulting in injury or death
11/1/13,"Algona, IA",Algona High/Middle School,Middle School,"Attempted or completed suicide, with no intent to injure other person"
10/21/13,"Sparks, NV",Sparks Middle School,Middle School,Attack on other persons(s) resulting in injury or death
10/15/13,"Austin, TX",Lanier High School,High School,"Attempted or completed suicide, with no intent to injure other person"
10/4/13,"Pine Hills, FL",Agape Christian Academy,Elementary School,Attack on other persons(s) resulting in injury or death
9/28/13,"Gray, ME",Gray-New Gloucester High School,High School,"Attempted or completed suicide, with no intent to injure other person"
9/21/13,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death
8/30/13,"Winston-Salem, NC",Carver High School,High School,Attack on other persons(s) resulting in injury or death
8/23/13,"Sardis, MS",North Panola High School,High School,Attack on other persons(s) resulting in injury or death
8/22/13,"Memphis, TN",Westside Elementary School,Elementary School,Gun fired but no one injured
8/20/13,"Decatur, GA",Ronald E. McNair Discovery Learning Academy,Elementary School,Gun fired but no one injured
8/15/13,"Clarksville, TN",Northwest High School,High School,Attack on other persons(s) resulting in injury or death
6/19/13,"West Palm Beach, FL",Alexander W. Dreyfoos School of the Arts,High School,Attack on other persons(s) resulting in injury or death
6/7/13,"Santa Monica, CA",Santa Monica College,College or University,Attack on other persons(s) resulting in injury or death
5/3/13,"Hattiesburg, MS",University of Southern Mississippi,College or University,Gun fired unintentionally resulting in injury or death
4/29/13,"Cincinnati, OH",La Salle High School,High School,"Attempted or completed suicide, with no intent to injure other person"
4/16/13,"Tuscaloosa, AL",Stillman College,College or University,Attack on other persons(s) resulting in injury or death
4/15/13,"Grambling, LA",Grambling State University,College or University,Attack on other persons(s) resulting in injury or death
4/13/13,"Elizabeth City, NC",Elizabeth City State University,College or University,Attack on other persons(s) resulting in injury or death
4/12/13,"Christiansburg, VA",New River Community College,College or University,Attack on other persons(s) resulting in injury or death
3/21/13,"Southgate, MI",Davidson Middle School,Middle School,"Attempted or completed suicide, with no intent to injure other person"
3/18/13,"Orlando, FL",University of Central Florida,College or University,"Attempted or completed suicide, with no intent to injure other person"
2/27/13,"Atlanta, GA",Henry W. Grady High School,High School,Gun fired unintentionally resulting in injury or death
2/13/13,"San Leandro, CA",Hillside Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
